Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
55,DeVante Parker,MIA,24,WR,13,12,96,57,59.40%,670,11.8,1,36,4.4,51.5,1
56,Kyle Rudolph*,MIN,28,TE,16,16,81,57,70.40%,532,9.3,8,34,3.6,33.3,0
57,Marquise Goodwin,SFO,27,WR,16,16,105,56,53.30%,962,17.2,2,83,3.5,60.1,0
58,Marqise Lee,JAX,26,WR,14,14,96,56,58.30%,702,12.5,3,45,4,50.1,1
59,James White,NWE,25,rb,14,4,72,56,77.80%,429,7.7,3,27,4,30.6,0
60,Robert Woods,LAR,25,WR,12,11,85,56,65.90%,781,13.9,5,94,4.7,65.1,1
61,Jared Cook,OAK,30,TE,16,16,86,54,62.80%,688,12.7,2,35,3.4,43,1
62,Eric Decker,TEN,30,WR,16,8,83,54,65.10%,563,10.4,1,29,3.4,35.2,0
63,Tarik Cohen,CHI,22,rb/wr,16,4,71,53,74.60%,353,6.7,1,70,3.3,22.1,3
64,Eric Ebron,DET,24,TE,16,9,86,53,61.60%,574,10.8,4,44,3.3,35.9,1
65,Ted Ginn,NOR,32,WR,15,10,70,53,75.70%,787,14.8,4,54,3.5,52.5,2
66,Kareem Hunt*,KAN,22,RB,16,16,63,53,84.10%,455,8.6,3,78,3.3,28.4,1
67,Rishard Matthews,TEN,28,WR,14,11,87,53,60.90%,795,15,4,75,3.8,56.8,0
68,Jordy Nelson,GNB,32,WR,15,15,88,53,60.20%,482,9.1,6,58,3.5,32.1,0
69,Theo Riddick,DET,26,rb,16,5,71,53,74.60%,444,8.4,2,63,3.3,27.8,1
70,Terrance Williams,DAL,28,WR,16,14,78,53,67.90%,568,10.7,0,56,3.3,35.5,0
71,Brandon LaFell,CIN,31,WR,16,15,89,52,58.40%,548,10.5,3,45,3.3,34.3,1
72,Mike Wallace,BAL,31,WR,15,14,92,52,56.50%,748,14.4,4,66,3.5,49.9,0
73,Jerick McKinnon,MIN,25,rb,16,1,68,51,75.00%,421,8.3,2,41,3.2,26.3,3
74,Martavis Bryant,PIT,26,WR,15,8,84,50,59.50%,603,12.1,3,51,3.3,40.2,0
75,DeSean Jackson,TAM,31,WR,14,13,90,50,55.60%,668,13.4,3,41,3.6,47.7,0
76,Austin Seferian-Jenkins,NYJ,25,TE,13,10,74,50,67.60%,357,7.1,3,28,3.8,27.5,1
77,Charles Clay,BUF,28,TE,13,13,74,49,66.20%,558,11.4,2,44,3.8,42.9,1
78,Austin Hooper,ATL,23,TE,16,8,65,49,75.40%,526,10.7,3,88,3.1,32.9,0
79,Kelvin Benjamin,2TM,26,,14,14,78,48,61.50%,692,14.4,3,43,3.4,49.4,0
80,Cameron Brate,TAM,26,te,16,6,77,48,62.30%,591,12.3,6,35,3,36.9,1
